,n_clusters,percent_clustered,sil_score,pielou_evenness,runtime,n_components,random_state,prediction_data,min_cluster_size,min_samples
0,2,100.0,0.36383718,0.8272448103704763,3.221484661102295,2,1,True,10,10
1,2,100.0,0.5013321,0.7910318920372201,3.365705728530884,2,1,True,10,20
2,4,100.0,0.51232886,0.9728382652075585,3.212292194366455,2,1,True,10,30
3,2,100.0,0.46581703,0.7349557594762548,3.370255708694458,2,1,True,10,40
4,2,100.0,0.529172,0.7144274294418078,3.1658260822296143,2,1,True,10,50
5,2,100.0,0.5023723,0.7732266742876345,3.5035548210144043,2,1,True,10,60
6,2,100.0,0.5241852,0.7545445186345396,3.5679304599761963,2,1,True,10,70
7,2,100.0,0.52343917,0.7545445186345396,3.50597882270813,2,1,True,10,80
8,2,100.0,0.5140371,0.7349557594762548,3.515350103378296,2,1,True,10,90
9,2,100.0,0.53976035,0.7545445186345396,3.756464958190918,2,1,True,10,100
10,2,100.0,0.3861977,0.8690946046298477,3.1487836837768555,2,1,True,20,10
11,2,100.0,0.36009267,0.8241161138753459,3.425239324569702,2,1,True,20,20
12,4,100.0,0.53213364,0.9651230788574477,3.2860405445098877,2,1,True,20,30
13,2,100.0,0.4220897,0.7786590470704383,3.4396889209747314,2,1,True,20,40
14,2,100.0,0.389476,0.8079869552387523,3.108952522277832,2,1,True,20,50
15,2,100.0,0.39467585,0.7732266742876345,3.2932779788970947,2,1,True,20,60
16,2,100.0,0.5078838,0.7732266742876345,3.219937324523926,2,1,True,20,70
17,2,100.0,0.40951627,0.7732266742876345,2.995732069015503,2,1,True,20,80
18,2,100.0,0.48334533,0.8079869552387523,3.1678435802459717,2,1,True,20,90
19,2,100.0,0.45352393,0.8079869552387523,2.9205844402313232,2,1,True,20,100
20,2,100.0,0.48262054,0.6704005118109155,3.0032150745391846,2,1,True,30,10
21,2,100.0,0.37837237,0.9256859869821298,3.277108669281006,2,1,True,30,20
22,4,100.0,0.5673798,0.9607662178739569,3.1701138019561768,2,1,True,30,30
23,2,100.0,0.4821414,0.6704005118109155,3.3394289016723633,2,1,True,30,40
24,2,100.0,0.44789568,0.8394413768963296,3.132328510284424,2,1,True,30,50
25,2,100.0,0.38666874,0.7910318920372201,3.476905107498169,2,1,True,30,60
26,2,100.0,0.41208127,0.8394413768963296,3.0626418590545654,2,1,True,30,70
27,2,100.0,0.3050776,0.8394413768963296,3.2883386611938477,2,1,True,30,80
28,2,100.0,0.5539135,0.7349557594762548,3.0268664360046387,2,1,True,30,90
29,2,100.0,0.34071124,0.7910318920372201,2.9744322299957275,2,1,True,30,100
30,2,100.0,0.24625453,0.7892900482371917,3.3162732124328613,2,1,True,40,10
31,2,100.0,0.30179316,0.8409304755958911,3.1265313625335693,2,1,True,40,20
32,4,100.0,0.27434963,0.9808618818164876,3.034888982772827,2,1,True,40,30
33,2,100.0,0.372348,0.8677584893617495,3.200052261352539,2,1,True,40,40
34,2,100.0,0.2465903,0.8595839641129238,3.169672966003418,2,1,True,40,50
35,2,100.0,0.3253113,0.8079869552387523,3.1769652366638184,2,1,True,40,60
36,2,100.0,0.414918,0.8677584893617495,2.9170029163360596,2,1,True,40,70
37,2,100.0,0.43137687,0.8677584893617495,3.200150489807129,2,1,True,40,80
38,2,100.0,0.32153416,0.8079869552387523,2.9805593490600586,2,1,True,40,90
39,2,100.0,0.41801512,0.7349557594762548,2.961272716522217,2,1,True,40,100
40,2,100.0,0.40615103,0.9144612916935675,3.109496831893921,2,1,True,50,10
41,2,100.0,0.27735135,0.7165235588163109,2.9479026794433594,2,1,True,50,20
42,4,100.0,0.22675553,0.971945831348381,2.901156187057495,2,1,True,50,30
43,2,100.0,0.32634142,0.7165235588163109,3.1155383586883545,2,1,True,50,40
44,2,100.0,0.5539135,0.7349557594762548,3.097886562347412,2,1,True,50,50
45,2,100.0,0.29931587,0.8241161138753459,2.982448101043701,2,1,True,50,60
46,2,100.0,0.3901742,0.8930780363227029,3.1149179935455322,2,1,True,50,70
47,2,100.0,0.41944432,0.8241161138753459,3.0060017108917236,2,1,True,50,80
48,2,100.0,0.2754734,0.8241161138753459,3.2240726947784424,2,1,True,50,90
49,2,100.0,0.5165682,0.8241161138753459,2.980947494506836,2,1,True,50,100
50,2,100.0,0.38223165,0.7526269564427315,2.9085233211517334,2,1,True,60,10
51,2,100.0,0.22084422,0.8409304755958911,3.129397392272949,2,1,True,60,20
52,4,100.0,0.13640517,0.9684034649191322,2.972839832305908,2,1,True,60,30
53,2,100.0,0.3624628,0.9155163444717095,2.981046199798584,2,1,True,60,40
54,2,100.0,0.5115876,0.8394413768963296,3.102109670639038,2,1,True,60,50
55,2,100.0,0.2065131,0.8394413768963296,3.1089115142822266,2,1,True,60,60
56,2,100.0,0.308865,0.9155163444717095,3.252971649169922,2,1,True,60,70
57,2,100.0,0.30286795,0.9155163444717095,3.1288981437683105,2,1,True,60,80
58,2,100.0,0.5539135,0.7349557594762548,3.0632853507995605,2,1,True,60,90
59,2,100.0,0.15360405,0.8394413768963296,3.272146224975586,2,1,True,60,100
60,2,100.0,0.39754745,0.9360814319397587,3.0473763942718506,2,1,True,70,10
61,2,100.0,0.2850544,0.7349557594762548,3.0341923236846924,2,1,True,70,20
62,4,100.0,0.44899982,0.9510109172142678,3.2712583541870117,2,1,True,70,30
63,2,100.0,0.386724,0.5691074447810452,3.0761709213256836,2,1,True,70,40
64,2,100.0,0.41447404,0.8539827588675062,3.049546003341675,2,1,True,70,50
65,2,100.0,0.51545215,0.8539827588675062,3.2812674045562744,2,1,True,70,60
